character,text,start_time,end_time,location,time in ms
BEN,theres nothing you could have done luke had you been there youd have been killed too and the droids would be in the hands of the empire,"00:42:05,060","00:42:12,950", TATOOINE ,5058010
LUKE,i want to come with you to alderaan theres nothing here for me now i want to learn the ways of the force and become a jedi like my father,"00:42:14,740","00:42:22,580", TATOOINE ,5077320
BEN,mos eisley spaceport you will never find a more wretched hive of scum and villainy we must be cautious,"00:42:38,300","00:42:47,980", TATOOINE ,5126280
TROOPER,how long have you had these droids,"00:43:29,310","00:43:31,230", TATOOINE ,5220540
TROOPER,let me see your identification,"00:43:37,360","00:43:39,870", TATOOINE ,5237230
BEN,you dont need to see his identification,"00:43:40,490","00:43:42,330", TATOOINE ,5242820
BEN,these are not the droids your looking for,"00:43:45,040","00:43:47,000", TATOOINE ,5252040
BEN,he can go about his business,"00:43:50,630","00:43:53,880", TATOOINE ,5264510
BEN,well most of the best freighter pilots can be found here only watch your step this place can be a little rough,"00:44:37,460","00:44:41,300", TATOOINE ,5358760
LUKE,im ready for anything,"00:44:41,390","00:44:43,140", TATOOINE ,5364530
THREEPIO,come along artoo,"00:44:47,060","00:44:48,390", TATOOINE ,5375450
BARTENDER,we dont serve their kind here,"00:45:38,940","00:45:42,450", TATOOINE ,5481390
HAN,ive outrun imperial starships not the local bulkcruisers mind you im talking about the big corellian ships now shes fast enough for you old man whats the cargo,"00:48:16,020","00:48:24,110", TATOOINE ,5800130
BEN,only passengers myself the boy two droids and no questions asked,"00:48:25,150","00:48:34,080", TATOOINE ,5819230
HAN,what is it some kind of local trouble,"00:48:35,290","00:48:37,160", TATOOINE ,5832450
BEN,lets just say wed like to avoid any imperial entanglements,"00:48:37,250","00:48:42,460", TATOOINE ,5839710
HAN,well thats the trick isnt it and its going to cost you something extra ten thousand in advance,"00:48:43,880","00:48:52,260", TATOOINE ,5856140
LUKE,ten thousand we could almost buy our own ship for that,"00:48:53,970","00:48:59,140", TATOOINE ,5873110
HAN,but whos going to fly it kid you,"00:48:59,230","00:49:01,480", TATOOINE ,5880710
LUKE,you bet i could im not such a bad pilot myself we dont have to sit here and listen,"00:49:01,560","00:49:06,150", TATOOINE ,5887710
BEN,we havent that much with us but we could pay you two thousand now plus fifteen when we reach alderaan,"00:49:06,230","00:49:12,490", TATOOINE ,5898720
HAN,seventeen huh,"00:49:13,240","00:49:14,450", TATOOINE ,5907690
HAN,okay you guys got yourself a ship well leave as soon as youre ready docking bay ninetyfour,"00:49:18,120","00:49:24,290", TATOOINE ,5922410
HAN,seventeen thousand those guys must really be desperate this could really save my neck get back to the ship and get her ready,"00:49:48,400","00:49:51,860", TATOOINE ,5980260
BEN,youll have to sell your speeder,"00:49:52,950","00:49:54,990", TATOOINE ,5987940
LUKE,thats okay im never coming back to this planet again,"00:49:55,070","00:49:57,120", TATOOINE ,5992190
GREEDO,going somewhere solo,"00:49:58,490","00:50:00,540", MOS EISLEY ,5999030
HAN,yes greedo as a matter of fact i was just going to see your boss tell jabba that ive got his money,"00:50:00,790","00:50:06,130", MOS EISLEY ,6006920
GREEDO,its too late you should have paid him when you had the chance jabbas put a price on your head so large that every bounty hunter in the galaxy will be looking for you im lucky i found you first,"00:50:06,210","00:50:19,310", MOS EISLEY ,6025520
HAN,yeah but this time i got the money,"00:50:19,390","00:50:21,600", MOS EISLEY ,6040990
GREEDO,if you give it to me i might forget i found you,"00:50:21,680","00:50:25,270", MOS EISLEY ,6046950
HAN,i dont have it with me tell jabba,"00:50:25,350","00:50:28,520", MOS EISLEY ,6053870
GREEDO,jabbas through with you he has no time for smugglers who drop their shipments at the first sign of an imperial cruiser,"00:50:28,570","00:50:38,200", MOS EISLEY ,6066770
HAN,even i get boarded sometimes do you think i had a choice,"00:50:36,740","00:50:40,490", MOS EISLEY ,6077230
GREEDO,you can tell that to jabba he may only take your ship,"00:50:40,580","00:50:44,710", MOS EISLEY ,6085290
HAN,over my dead body,"00:50:44,790","00:50:46,920", MOS EISLEY ,6091710
GREEDO,thats the idea ive been looking forward to killing you for a long time,"00:50:46,960","00:50:52,210", MOS EISLEY ,6099170
HAN,yes ill bet you have,"00:50:52,420","00:50:53,760", MOS EISLEY ,6106180
HAN,sorry about the mess,"00:51:07,810","00:51:09,440", MOS EISLEY ,6137250
VADER,her resistance to the mind probe is considerable it will be some time before we can extract any information from her,"00:51:18,820","00:51:25,370", DEATH STAR ,6164190
IMPERIAL OFFICER,the final checkout is complete all systems are operational what course shall we set,"00:51:25,460","00:51:31,380", DEATH STAR ,6176840
TARKIN,perhaps she would respond to an alternative form of persuasion,"00:51:31,460","00:51:34,880", DEATH STAR ,6186340
VADER,what do you mean,"00:51:34,970","00:51:36,590", DEATH STAR ,6191560
TARKIN,i think it is time we demonstrate the full power of this station,"00:51:36,680","00:51:39,640", DEATH STAR ,6196320
TARKIN,set your course for princess leias home planet of alderaan,"00:51:39,720","00:51:42,220", DEATH STAR ,6201940
TROOPER,all right check that side of the street its secure move on to the next door,"00:51:53,690","00:51:56,320", TATOOINE ,6230010
THREEPIO,i would much rather have gone with master luke than stay here with you i dont know what all the trouble is about but im sure it must be your fault,"00:52:03,160","00:52:10,080", TATOOINE ,6253240
THREEPIO,you watch your language,"00:52:10,830","00:52:12,420", TATOOINE ,6263250
LUKE,he says its the best he can do since the xp38 came out theyre just not in demand,"00:52:14,460","00:52:21,430", TATOOINE ,6275890
BEN,it will be enough,"00:52:21,510","00:52:23,510", TATOOINE ,6285020
HAN,ive been waiting for you jabba,"00:52:49,500","00:52:51,040", DOCKING BAY 94 ,6340540
JABBA,han my boy there are times when you disappoint me why havent you paid me and why did you have to fry poor greedo like that after all weve been through together,"00:52:57,710","00:53:07,100", DOCKING BAY 94 ,6364810
JABBA,han han if only you hadnt had to dump that shipment of spice you understand i just cant make an exception where would i be if every pilot who smuggled for me dumped their shipment at the first sign of an imperial starship its not good business,"00:53:15,940","00:53:26,330", DOCKING BAY 94 ,6402270
HAN,you know even i get boarded sometimes jabba i had no choice but ive got a charter now and i can pay you back plus a little extra i just need some more time,"00:53:26,370","00:53:39,510", DOCKING BAY 94 ,6425880
JABBA,put your blasters away han my boy im only doing this because youre the best and i need you so for an extra say twenty percent ill give you a little more time but this is it if you disappoint me again ill put a price on your head so large you wont be able to go near a civilized system for the rest of your short life,"00:53:39,590","00:54:00,990", DOCKING BAY 94 ,6460580
HAN,shell make point five beyond the speed of light she may not look like much but shes got it where it counts kid ive added some special modifications myself,"00:54:12,960","00:54:50,870", MOS EISLEY SPACEPORT ,6543830
HAN,were a little rushed so if youll hurry aboard well get out of here,"00:54:50,950","00:54:54,870", MOS EISLEY SPACEPORT ,6585820
THREEPIO,hello sir,"00:54:59,460","00:55:00,960", MOS EISLEY SPACEPORT ,6600420
TROOPER,which way,"00:55:09,890","00:55:11,140", TATOOINE ,6621030
TROOPER,all right men load your weapons,"00:55:13,140","00:55:15,140", TATOOINE ,6628280
TROOPER,stop that ship,"00:55:16,730","00:55:19,360", MOS EISLEY SPACEPORT ,6636090
HAN,it looks like an imperial cruiser our passengers must be hotter than i thought try and hold them off angle the deflector shield while i make the calculations for the jump to light speed,"00:55:58,230","00:56:01,860", MILLENNIUM FALCON ,6720090
HAN,stay sharp there are two more coming in theyre going to try to cut us off,"00:56:12,620","00:56:15,500", MILLENNIUM FALCON ,6748120
LUKE,why dont you outrun them i thought you said this thing was fast,"00:56:15,580","00:56:17,660", MILLENNIUM FALCON ,6753240
HAN,watch your mouth kid or youre going to find yourself floating home well be safe enough once we make the jump to hyperspace besides i know a few maneuvers well lose them,"00:56:17,750","00:56:25,090", MILLENNIUM FALCON ,6762840
HAN,heres where the fun begins,"00:56:29,180","00:56:31,220", MILLENNIUM FALCON ,6780400
BEN,how long before you can make the jump to light speed,"00:56:31,300","00:56:33,100", MILLENNIUM FALCON ,6784400
HAN,itll take a few moments to get the coordinates from the navicomputer,"00:56:33,180","00:56:36,100", MILLENNIUM FALCON ,6789280
LUKE,are you kidding at the rate theyre gaining,"00:56:36,180","00:56:37,770", MILLENNIUM FALCON ,6793950
HAN,traveling through hyperspace isnt like dusting crops boy without precise calculations we could fly right through a star or bounce too close to a supernova and thatd end your trip real quick wouldnt it,"00:56:37,850","00:56:47,150", MILLENNIUM FALCON ,6805000
HAN,were losing our deflector shield go strap yourself in im going to make the jump to light speed,"00:56:49,700","00:56:52,660", MILLENNIUM FALCON ,6822360
MOTTI,weve entered the alderaan system,"00:57:13,640","00:57:15,970", DEATH STAR ,6869610
LEIA,governor tarkin i should have expected to find you holding vaders leash i recognized your foul stench when i was brought on board,"00:57:16,970","00:57:24,690", DEATH STAR ,6881660
TARKIN,charming to the last you dont know how hard i found it signing the order to terminate your life,"00:57:26,320","00:57:32,820", DEATH STAR ,6899140
LEIA,i surprised you had the courage to take the responsibility yourself,"00:57:32,910","00:57:35,780", DEATH STAR ,6908690
TARKIN,princess leia before your execution i would like you to be my guest at a ceremony that will make this battle station operational no star system will dare oppose the emperor now,"00:57:35,870","00:57:47,340", DEATH STAR ,6923210
LEIA,the more you tighten your grip tarkin the more star systems will slip through your fingers,"00:57:48,010","00:57:52,930", DEATH STAR ,6940940
TARKIN,not after we demonstrate the power of this station in a way you have determined the choice of the planet thatll be destroyed first since you are reluctant to provide us with the location of the rebel base i have chosen to test this stations destructive power on your home planet of alderaan,"00:57:53,010","00:58:11,700", DEATH STAR ,6964710
LEIA,no alderaan is peaceful we have no weapons you cant possibly,"00:58:12,700","00:58:15,450", DEATH STAR ,6988150
TARKIN,you would prefer another target a military target then name the system,"00:58:15,530","00:58:20,200", DEATH STAR ,6995730
TARKIN,i grow tired of asking this so itll be the last time where is the rebel base,"00:58:22,080","00:58:28,210", DEATH STAR ,7010290
LEIA,dantooine,"00:58:31,760","00:58:33,380", DEATH STAR ,7025140
LEIA,theyre on dantooine,"00:58:34,050","00:58:35,840", DEATH STAR ,7029890
TARKIN,there you see lord vader she can be reasonable,"00:58:35,930","00:58:39,310", DEATH STAR ,7035240
TARKIN,continue with the operation you may fire when ready,"00:58:39,390","00:58:42,270", DEATH STAR ,7041660
TARKIN,youre far too trusting dantooine is too remote to make an effective demonstration but dont worry we will deal with your rebel friends soon enough,"00:58:44,600","00:58:51,740", DEATH STAR ,7056340
BEN,i felt a great disturbance in the force as if millions of voices suddenly cried out in terror and were suddenly silenced i fear something terrible has happened,"00:59:25,440","00:59:33,440", MILLENNIUM FALCON ,7138880
BEN,youd better get on with your exercises,"00:59:35,110","00:59:37,410", MILLENNIUM FALCON ,7152520
